№,Наименование специальности,Форма получения образования,
,,Бюджетная,
,,Проходной балл,"Полупрохо
дной балл"
Полный срок получения высшего образования,,,
2 профильных испытания,,,
1,"6-05-0812-01 Техническое обеспечение
производства сельскохозяйственной продукции",143,
2,"6-05-0812-02 Техническое обеспечение хранения и
переработки сельскохозяйственной продукции",145,
3,"6-05-0812-03 Технический сервис в
агропромышленном комплексе",146,
4,"6-05-0812-04 Энергетическое обеспечение сельского
хозяйства",175,
5,6-05-1021-01 Охрана труда на производстве,153,144
6,6-05-0811-04 Агробизнес,175,
Сокращенный срок получения высшего образования,,,
2 профильных испытания,,,
8,"6-05-0812-01 Техническое обеспечение
производства сельскохозяйственной продукции",210,
10,"6-05-0812-03 Технический сервис в
агропромышленном комплексе",198,
11,"6-05-0812-04 Энергетическое обеспечение сельского
хозяйства",188,
12,6-05-0811-04 Агробизнес,216,
